"clc","lu","desc0","nbs_code","hazard"
1,111,"Continuous urban fabric","NA-7","Heat"
1,111,"Continuous urban fabric","WF-9","Drought"
1,111,"Continuous urban fabric","WF-9","Heat"
1,111,"Continuous urban fabric","NA-15","Other"
1,111,"Continuous urban fabric","ES-22","Floods"
1,111,"Continuous urban fabric","ES-22","Heat"
1,111,"Continuous urban fabric","PO-5","Other"
1,111,"Continuous urban fabric","PO-5","Floods"
1,111,"Continuous urban fabric","PO-5","Heat"
1,111,"Continuous urban fabric","WF-9","Other"
1,111,"Continuous urban fabric","PO-4","Other"
1,111,"Continuous urban fabric","PO-4","Erosion"
1,111,"Continuous urban fabric","PO-4","Floods"
1,111,"Continuous urban fabric","PO-4","Drought"
1,111,"Continuous urban fabric","PO-4","Heat"
1,111,"Continuous urban fabric","PO-3","Other"
1,111,"Continuous urban fabric","PO-3","Floods"
1,111,"Continuous urban fabric","PO-3","Drought"
1,111,"Continuous urban fabric","PO-3","Heat"
1,111,"Continuous urban fabric","PO-1","Other"
1,111,"Continuous urban fabric","PO-1","Floods"
1,111,"Continuous urban fabric","PO-1","Heat"
2,112,"Discontinuous urban fabric","NA-10","Other"
2,112,"Discontinuous urban fabric","CA-1","Floods"
2,112,"Discontinuous urban fabric","WF-6","Other"
2,112,"Discontinuous urban fabric","NA-16","Other"
2,112,"Discontinuous urban fabric","NA-14","Other"
3,121,"Industrial or commercial units","NA-10","Other"
4,122,"Road and rail networks and associated land","ES-13"," Sea level rise"
4,122,"Road and rail networks and associated land","CA-1","Floods"
4,122,"Road and rail networks and associated land","NA-2","Erosion"
4,122,"Road and rail networks and associated land","ES-13","Other"
4,122,"Road and rail networks and associated land","ES-13"," Drought"
4,122,"Road and rail networks and associated land","ES-13","Heat"
5,123,"Port areas","WF-9","Other"
5,123,"Port areas","ES-13","Heat"
5,123,"Port areas","ES-13"," Sea level rise"
5,123,"Port areas","ES-13"," Drought"
5,123,"Port areas","ES-13","Other"
5,123,"Port areas","ES-13","Heat"
5,123,"Port areas","ES-13"," Sea level rise"
5,123,"Port areas","ES-13"," Drought"
5,123,"Port areas","ES-13","Other"
5,123,"Port areas","FRI-5","Sea level rise"
5,123,"Port areas","FRI-5","Drought"
5,123,"Port areas","FRI-5","Floods"
5,123,"Port areas","FRI-5","Erosion"
5,123,"Port areas","FRI-5","Other"
5,123,"Port areas","WF-9","Heat"
5,123,"Port areas","WF-9","Drought"
7,131,"Mineral extraction sites","ES-13","Other"
7,131,"Mineral extraction sites","ES-13"," Drought"
7,131,"Mineral extraction sites","ES-13","Heat"
7,131,"Mineral extraction sites","ES-7","Erosion"
7,131,"Mineral extraction sites","ES-13"," Sea level rise"
7,131,"Mineral extraction sites","ES-7","Flood"
7,131,"Mineral extraction sites","NA-13","Other"
8,132,"Dump sites","ES-13","Other"
8,132,"Dump sites","ES-13"," Drought"
8,132,"Dump sites","ES-13"," Sea level rise"
8,132,"Dump sites","ES-13","Heat"
9,133,"Construction sites","FRI-4","Heat"
9,133,"Construction sites","FRI-4","Other"
10,141,"Green urban areas","NA-7","Heat"
10,141,"Green urban areas","ES-13"," Drought"
10,141,"Green urban areas","CA-1","Floods"
10,141,"Green urban areas","PO-6","Heat"
10,141,"Green urban areas","PO-6","Erosion"
10,141,"Green urban areas","PO-6","Floods"
10,141,"Green urban areas","EF-4","Other"
10,141,"Green urban areas","PO-6","Other"
10,141,"Green urban areas","ES-23","Heat"
10,141,"Green urban areas","ES-13","Other"
10,141,"Green urban areas","ES-15","Other"
10,141,"Green urban areas","ES-13"," Sea level rise"
10,141,"Green urban areas","ES-13","Heat"
10,141,"Green urban areas","WF-13","Other"
11,142,"Sport and leisure facilities","EF-4","Other"
12,211,"Non-irrigated arable land","WF-3","Drought"
12,211,"Non-irrigated arable land","WF-17","Heat"
12,211,"Non-irrigated arable land","WF-17","Drought"
12,211,"Non-irrigated arable land","NA-1","Heat"
12,211,"Non-irrigated arable land","WF-8","Drought"
12,211,"Non-irrigated arable land","WF-20","Other"
12,211,"Non-irrigated arable land","WF-20","Drought"
12,211,"Non-irrigated arable land","WF-17","Erosion"
12,211,"Non-irrigated arable land","WF-17","Other"
12,211,"Non-irrigated arable land","WF-2","Other"
12,211,"Non-irrigated arable land","WF-2","Drought"
12,211,"Non-irrigated arable land","NA-9","Erosion"
12,211,"Non-irrigated arable land","WF-11","Drought"
12,211,"Non-irrigated arable land","WF-12","Erosion"
12,211,"Non-irrigated arable land","WF-12","Other"
12,211,"Non-irrigated arable land","WF-16","Heat"
