clc,lu,desc0,nbs_code,hazard,landscape_case
1,111,Continuous urban fabric,NA-7,Heat,Urban
1,111,Continuous urban fabric,WF-9,Drought,Urban
1,111,Continuous urban fabric,WF-9,Heat,Urban
1,111,Continuous urban fabric,NA-15,Other,Urban
1,111,Continuous urban fabric,ES-22,Flood,Urban
1,111,Continuous urban fabric,ES-22,Heat,Urban
1,111,Continuous urban fabric,PO-5,Other,Urban
1,111,Continuous urban fabric,PO-5,Flood,Urban
1,111,Continuous urban fabric,PO-5,Heat,Urban
1,111,Continuous urban fabric,WF-9,Other,Urban
1,111,Continuous urban fabric,PO-4,Other,Urban
1,111,Continuous urban fabric,PO-4,Erosion,Urban
1,111,Continuous urban fabric,PO-4,Flood,Urban
1,111,Continuous urban fabric,PO-4,Drought,Urban
1,111,Continuous urban fabric,PO-4,Heat,Urban
1,111,Continuous urban fabric,PO-3,Other,Urban
1,111,Continuous urban fabric,PO-3,Flood,Urban
1,111,Continuous urban fabric,PO-3,Drought,Urban
1,111,Continuous urban fabric,PO-3,Heat,Urban
1,111,Continuous urban fabric,PO-1,Other,Urban
1,111,Continuous urban fabric,PO-1,Flood,Urban
1,111,Continuous urban fabric,PO-1,Heat,Urban
2,112,Discontinuous urban fabric,NA-10,Other,Urban
2,112,Discontinuous urban fabric,CA-1,Flood,Urban
2,112,Discontinuous urban fabric,WF-6,Other,Urban
2,112,Discontinuous urban fabric,NA-16,Other,Urban
2,112,Discontinuous urban fabric,NA-14,Other,Urban
3,121,Industrial or commercial units,NA-10,Other,Urban
4,122,Road and rail networks and associated land,ES-13,Sea level rise,Urban
4,122,Road and rail networks and associated land,CA-1,Flood,Urban
4,122,Road and rail networks and associated land,NA-2,Erosion,Urban
4,122,Road and rail networks and associated land,ES-13,Other,Urban
4,122,Road and rail networks and associated land,ES-13,Drought,Urban
4,122,Road and rail networks and associated land,ES-13,Heat,Urban
5,123,Port areas,WF-9,Other,Urban
5,123,Port areas,ES-13,Heat,Urban
5,123,Port areas,ES-13,Sea level rise,Urban
5,123,Port areas,ES-13,Drought,Urban
5,123,Port areas,ES-13,Other,Urban
5,123,Port areas,ES-13,Heat,Urban
5,123,Port areas,ES-13,Sea level rise,Urban
5,123,Port areas,ES-13,Drought,Urban
5,123,Port areas,ES-13,Other,Urban
5,123,Port areas,FRI-5,Sea level rise,Urban
5,123,Port areas,FRI-5,Drought,Urban
5,123,Port areas,FRI-5,Flood,Urban
5,123,Port areas,FRI-5,Erosion,Urban
5,123,Port areas,FRI-5,Other,Urban
5,123,Port areas,WF-9,Heat,Urban
5,123,Port areas,WF-9,Drought,Urban
7,131,Mineral extraction sites,ES-13,Other,Urban
7,131,Mineral extraction sites,ES-13,Drought,Urban
7,131,Mineral extraction sites,ES-13,Heat,Urban
7,131,Mineral extraction sites,ES-7,Erosion,Urban
7,131,Mineral extraction sites,ES-13,Sea level rise,Urban
7,131,Mineral extraction sites,ES-7,Flood,Urban
7,131,Mineral extraction sites,NA-13,Other,Urban
8,132,Dump sites,ES-13,Other,Urban
8,132,Dump sites,ES-13,Drought,Urban
8,132,Dump sites,ES-13,Sea level rise,Urban
8,132,Dump sites,ES-13,Heat,Urban
9,133,Construction sites,FRI-4,Heat,Urban
9,133,Construction sites,FRI-4,Other,Urban
10,141,Green urban areas,NA-7,Heat,Urban
10,141,Green urban areas,ES-13,Drought,Urban
10,141,Green urban areas,CA-1,Flood,Urban
10,141,Green urban areas,PO-6,Heat,Urban
10,141,Green urban areas,PO-6,Erosion,Urban
10,141,Green urban areas,PO-6,Flood,Urban
10,141,Green urban areas,EF-4,Other,Urban
10,141,Green urban areas,PO-6,Other,Urban
10,141,Green urban areas,ES-23,Heat,Urban
10,141,Green urban areas,ES-13,Other,Urban
10,141,Green urban areas,ES-15,Other,Urban
10,141,Green urban areas,ES-13,Sea level rise,Urban
10,141,Green urban areas,ES-13,Heat,Urban
10,141,Green urban areas,WF-13,Other,Urban
11,142,Sport and leisure facilities,EF-4,Other,Urban
12,211,Non-irrigated arable land,WF-3,Drought,Rural
12,211,Non-irrigated arable land,WF-17,Heat,Rural
12,211,Non-irrigated arable land,WF-17,Drought,Rural
12,211,Non-irrigated arable land,NA-1,Heat,Rural
12,211,Non-irrigated arable land,WF-8,Drought,Rural
12,211,Non-irrigated arable land,WF-20,Other,Rural
12,211,Non-irrigated arable land,WF-20,Drought,Rural
12,211,Non-irrigated arable land,WF-17,Erosion,Rural
12,211,Non-irrigated arable land,WF-17,Other,Rural
12,211,Non-irrigated arable land,WF-2,Other,Rural
12,211,Non-irrigated arable land,WF-2,Drought,Rural
12,211,Non-irrigated arable land,NA-9,Erosion,Rural
12,211,Non-irrigated arable land,WF-11,Drought,Rural
12,211,Non-irrigated arable land,WF-12,Erosion,Rural
12,211,Non-irrigated arable land,WF-12,Other,Rural
12,211,Non-irrigated arable land,WF-16,Heat,Rural
12,211,Non-irrigated arable land,WF-16,Drought,Rural
12,211,Non-irrigated arable land,WF-16,Erosion,Rural
12,211,Non-irrigated arable land,WF-16,Other,Rural
12,211,Non-irrigated arable land,WF-4,Erosion,Rural
12,211,Non-irrigated arable land,WF-4,Flood,Rural
12,211,Non-irrigated arable land,WF-4,Drought,Rural
12,211,Non-irrigated arable land,NA-1,Other,Rural
12,211,Non-irrigated arable land,NA-1,Flood,Rural
12,211,Non-irrigated arable land,WF-3,Erosion,Rural
12,211,Non-irrigated arable land,WF-3,Flood,Rural
12,211,Non-irrigated arable land,NA-1,Drought,Rural
12,211,Non-irrigated arable land,WF-8,Other,Rural
12,211,Non-irrigated arable land,WF-8,Flood,Rural
13,212,Permanently irrigated land,WF-20,Drought,Rural
13,212,Permanently irrigated land,WF-16,Other,Rural
13,212,Permanently irrigated land,EF-1,Other,Rural
13,212,Permanently irrigated land,WF-16,Heat,Rural
13,212,Permanently irrigated land,WF-20,Other,Rural
13,212,Permanently irrigated land,WF-8,Drought,Rural
13,212,Permanently irrigated land,WF-8,Flood,Rural
13,212,Permanently irrigated land,WF-8,Other,Rural
13,212,Permanently irrigated land,WF-3,Erosion,Rural
13,212,Permanently irrigated land,WF-3,Flood,Rural
13,212,Permanently irrigated land,WF-3,Drought,Rural
13,212,Permanently irrigated land,NA-17,Erosion,Rural
13,212,Permanently irrigated land,WF-16,Erosion,Rural
13,212,Permanently irrigated land,EF-1,Flood,Rural
13,212,Permanently irrigated land,WF-18,Other,Rural
13,212,Permanently irrigated land,WF-17,Other,Rural
13,212,Permanently irrigated land,WF-17,Erosion,Rural
13,212,Permanently irrigated land,WF-17,Drought,Rural
13,212,Permanently irrigated land,WF-17,Heat,Rural
13,212,Permanently irrigated land,NA-17,Drought,Rural
13,212,Permanently irrigated land,FRI-1,Other,Rural
13,212,Permanently irrigated land,FRI-1,Drought,Rural
13,212,Permanently irrigated land,NA-17,Heat,Rural
13,212,Permanently irrigated land,CA-1,Flood,Rural
13,212,Permanently irrigated land,NA-17,Flood,Rural
13,212,Permanently irrigated land,EF-5,Erosion,Rural
13,212,Permanently irrigated land,EF-1,Erosion,Rural
13,212,Permanently irrigated land,CA-2,Heat,Rural
13,212,Permanently irrigated land,CA-2,Other,Rural
13,212,Permanently irrigated land,EF-1,Drought,Rural
13,212,Permanently irrigated land,CA-2,Flood,Rural
13,212,Permanently irrigated land,WF-16,Drought,Rural
13,212,Permanently irrigated land,CA-2,Drought,Rural
16,222,Fruit trees and berry plantations,WF-4,Erosion,Rural
16,222,Fruit trees and berry plantations,WF-4,Flood,Rural
